2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020
0.000571967,0.000695773,0.000526596,0.000602617,0.000496429,0.000689257,0.000683223,0.000764554,0.00168115,0.000780723,0.000455885,0.000649919,0.000593205,0.001621057,0.001690803,0.002375475,0.001954101,0.001122214,0.001205476,0.000884257,0.001147313,0.000710736,0.000959312,0.000660538,0.000942177,0.000984653,0.000912734,0.001222369,0.001176757,0.001433538
0.002367739,0.002339025,0.010493795,0.013450559,0.011588807,0.009247453,0.004920955,0.007156765,0.007817187,0.015830715,0.007397342,0.005990357,0.003930711,0.003203549,0.003500777,0.00310887,0.004553106,0.010218296,0.006832375,0.005912751,0.00903171,0.004071953,0.00980854,0.007067519,0.003131376,0.005235257,0.005149115,0.0103867,0.010710314,0.005787807
0.005535573,0.008824478,0.004467043,0.002378453,0.002961345,0.013582017,0.002622064,0.003290805,0.002870743,0.002710448,0.002936952,0.003349095,0.002115835,0.00209461,0.001902952,0.001948887,0.003005062,0.002790595,0.002524493,0.002098411,0.002402846,0.001365044,0.002016996,0.002858705,0.003758386,0.003744131,0.002739592,0.002878029,0.002629983,0.002440227
0.008625105,0.00788293,0.006583961,0.005939029,0.007640959,0.011066284,0.01714256,0.009998227,0.011404198,0.012188653,0.01007921,0.011955138,0.009986519,0.011443551,0.013972866,0.013564702,0.015636093,0.017166302,0.016623818,0.015780496,0.012358098,0.006995052,0.012106695,0.007805851,0.013078158,0.018006371,0.015248094,0.014519903,0.014126049,0.012989045
0.010435916,0.008897045,0.004746301,0.005120365,0.006075254,0.009723563,0.004721573,0.004677643,0.004909395,0.01277921,0.024334425,0.008956495,0.00711853,0.007361856,0.007822991,0.007037246,0.009763285,0.010011609,0.011788808,0.0096165,0.00927979,0.006106032,0.009460245,0.00781168,0.011454991,0.013429219,0.012471699,0.015051742,0.014391737,0.011485242
0.001113486,0.002414624,0.001501218,0.000745638,0.000607074,0.000529092,0.000498335,0.000446761,0.000492432,0.000398606,0.001204516,0.002823793,0.002013533,0.001472014,0.001850425,0.001779279,0.00169322,0.003000261,0.001886464,0.001350226,0.001071544,0.000696239,0.001233099,0.001610889,0.000944475,0.001408013,0.001180594,0.00161151,0.002545732,0.002248099
0.01184443,0.012701145,0.014579076,0.022916368,0.030788235,0.012486637,0.012241423,0.011876452,0.01086401,0.011640888,0.016385942,0.016741701,0.012707725,0.01188391,0.007548132,0.008154368,0.018675342,0.013404327,0.012769577,0.012930129,0.011352246,0.006463748,0.009352366,0.008811491,0.012302397,0.014212789,0.009942811,0.009457646,0.00930499,0.011107032
0.000244373,0.000199095,0.000131339,0.000142899,0.000112874,0.000170837,0.000186572,9.00745E-05,0.000105809,0.000283068,0.000497256,0.00029206,0.000436725,0.000291578,0.000416173,0.000440418,0.000510101,0.000446519,0.00056421,0.000409751,0.000351307,0.000356445,0.000274559,0.000271669,0.000274077,0.000392571,0.000400117,0.000238914,0.000279857,0.000234419
0.003901351,0.002104015,0.002020407,0.00203645,0.001943123,0.003628045,0.002363504,0.0024121,0.003202394,0.002996418,0.002935059,0.002655078,0.002661167,0.004182152,0.003534483,0.002704962,0.003364223,0.004578294,0.005634517,0.003061993,0.00290719,0.002276969,0.004016458,0.002430016,0.00298506,0.004412483,0.003746548,0.003709779,0.003161409,0.003465981
0.002216347,0.00158604,0.001843258,0.001526324,0.0031477,0.00247603,0.001134607,0.001157343,0.001756149,0.002659835,0.00243138,0.003738561,0.003497779,0.002185941,0.002335779,0.002372211,0.003946746,0.004379004,0.005771651,0.005170928,0.002778994,0.00184901,0.002686954,0.002470278,0.003232344,0.005367608,0.004797291,0.004649644,0.00434942,0.005734945
